"country","taxRich","religiousLaw","freeElection","helpUnemp","armyTakesOver","civilRights","equalIncome","obeyRulers","genderEquality","importance"
"Estonia",9,1,9,10,6,10,10,1,6,10
"Estonia",8,2,10,9,1,10,9,4,10,10
"Estonia",2,3,10,7,1,10,7,9,9,9
"Estonia",7,1,9,9,3,9,4,1,8,10
"Estonia",10,3,10,10,1,10,10,5,8,5
"Estonia",3,5,9,7,1,8,10,1,8,5
"Estonia",9,10,8,1,1,10,10,2,10,9
"Estonia",3,2,8,8,1,6,4,5,8,10
"Estonia",7,4,10,7,6,10,6,8,10,10
"Estonia",4,2,9,5,1,9,3,3,7,9
"Estonia",9,9,9,9,1,9,9,2,9,8
"Estonia",2,1,10,2,10,10,2,10,1,10
"Estonia",7,4,10,7,4,9,7,7,9,10
"Estonia",10,6,10,8,4,10,5,7,9,4
"Estonia",10,5,10,8,6,10,10,10,6,10
"Estonia",10,10,10,10,1,10,10,1,10,10
"Estonia",10,7,7,10,1,10,10,1,10,9
"Estonia",8,8,8,8,1,8,8,1,8,7
"Estonia",5,1,10,3,7,10,6,5,10,10
"Estonia",9,3,10,9,1,10,1,1,10,10
"Estonia",8,1,10,10,1,10,8,6,8,9
"Estonia",9,4,8,9,4,10,10,6,9,7
"Estonia",8,3,9,9,4,8,9,8,9,8
"Estonia",10,4,9,10,7,10,7,6,10,10
"Estonia",9,3,10,10,3,10,6,2,10,9
"Estonia",9,2,10,10,4,9,4,6,10,10
"Estonia",7,3,9,8,2,5,8,3,8,9
"Estonia",3,1,10,7,2,9,7,1,4,8
"Estonia",9,8,9,9,10,9,9,9,9,8
"Estonia",8,6,10,8,2,9,8,6,7,10
"Estonia",8,3,9,8,2,8,8,2,10,9
"Estonia",3,2,9,6,1,5,7,5,8,10
"Estonia",5,5,5,5,5,5,5,5,5,5
"Estonia",8,1,8,9,5,9,9,9,9,8
"Estonia",7,3,9,10,8,10,10,1,10,10
"Estonia",1,1,10,10,10,10,4,6,10,8
"Estonia",8,3,10,8,5,8,8,1,9,7
"Estonia",4,10,10,5,8,1,6,9,5,5
"Estonia",10,1,10,10,1,10,10,4,10,6
"Estonia",10,2,10,10,7,10,8,1,8,8
"Estonia",6,1,10,10,1,10,6,1,8,5
"Estonia",10,5,10,10,6,10,8,6,9,10
"Estonia",10,1,10,10,1,10,10,10,10,8
"Estonia",5,6,9,10,3,10,6,6,6,6
